"Species","Capture History","Length","Weight","Wr","Mark","Tag","Sex","Mort?"
"SRC","M1","13.9","","","","","","N"
"SRC","M1","13.2","","","","","","N"
"SRC","M1","13.9","","","","","","N"
"SRC","M1","16.8","","","","","","N"
"SRC","M1","14.2","","","","","","N"
"SRC","M1","12","","","","","","N"
"SRC","M1","15.4","","","","","","N"
"SRC","M1","14.8","","","","","","N"
"SRC","M1","14.9","","","","","","N"
"SRC","M1","11.4","","","","","","N"
"SRC","M1","16.7","","","","","","N"
"SRC","M1","13.2","","","","","","N"
"SRC","M1","14.8","","","","","","N"
"SRC","M1","9.7","","","","","","N"
"SRC","M1","6.6","","","","","","N"
"SRC","M1","10.7","","","","","","N"
"SRC","M1","13.7","","","","","","N"
"SRC","M1","17.2","","","","","","N"
"SRC","M1","12.5","","","","","","N"
"SRC","M1","15.5","","","","","","N"
"SRC","M1","16.5","","","","","","N"
"SRC","M1","8.5","","","","","","N"
"SRC","M1","5.5","","","","","","N"
"SRC","M1","11.8","","","","","","N"
"SRC","M1","9.9","","","","","","N"
"BNT","P1","8.6","","","","","","N"
"BNT","P1","9.1","","","","","","N"
"SRC","M1","13.9","","","","","","N"
"SRC","M1","12","","","","","","N"
"SRC","M1","12.2","","","","","","N"
"SRC","M1","15","","","","","","N"
"SRC","M1","16.7","","","","","","N"
"SRC","M1","11.1","","","","","","N"
"SRC","M1","14.7","","","","","","N"
"SRC","M1","16.9","","","","","","N"
"SRC","M1","12.8","","","","","","N"
"SRC","M1","16.4","","","","","","N"
"SRC","M1","6.3","","","","","","N"
"SRC","M1","15.1","","","","","","N"
"SRC","M1","12","","","","","","N"
"SRC","M1","14.4","","","","","","N"
"SRC","M1","5.1","","","","","","N"
"SRC","M1","11.1","","","","","","N"
"SRC","M1","7.9","","","","","","N"
"SRC","M1","7.4","","","","","","N"
"SRC","M1","5.8","","","","","","N"
"SRC","M1","6.7","","","","","","N"
"SRC","M1","4.5","","","","","","N"
"SRC","M1","8.5","","","","","","N"
"SRC","M1","16.6","","","","","","N"
"SRC","M1","11.4","","","","","","N"
"SRC","M1","15","","","","","","N"
"SRC","M1","14.1","","","","","","N"
"SRC","M1","12.5","","","","","","N"
"SRC","M1","11.4","","","","","","N"
"SRC","M1","20","","","","","","N"
"SRC","M1","11.7","","","","","","N"
"SRC","M1","12.5","","","","","","N"
"SRC","M1","17.4","","","","","","N"
"SRC","M1","15.1","","","","","","N"
"SRC","M1","11.7","","","","","","N"
"SRC","M1","12.2","","","","","","N"
"SRC","M1","17.4","","","","","","N"
"SRC","M1","13.9","","","","","","N"
"SRC","M1","10.2","","","","","","N"
"SRC","M1","14.1","","","","","","N"
"SRC","M1","14.4","","","","","","N"
"SRC","M1","19","","","","","","N"
"SRC","M1","16.8","","","","","","N"
"SRC","M1","14","","","","","","N"
"SRC","M1","11.3","","","","","","N"
"SRC","M1","11.6","","","","","","N"
"SRC","M1","14.3","","","","","","N"
"SRC","M1","13.9","","","","","","N"
"SRC","M1","13.5","","","","","","N"
"SRC","M1","12.2","","","","","","N"
"SRC","M1","5.3","","","","","","N"
"SRC","M1","15","","","","","","N"
"SRC","M1","13.1","","","","","","N"
"SRC","M1","15.5","","","","","","N"
"SRC","M1","6.3","","","","","","N"
"SRC","M1","13.3","","","","","","N"
"SRC","M1","5","","","","","","N"
"SRC","M1","6.7","","","","","","N"
"SRC","M1","13.4","","","","","","N"
"SRC","M1","5.1","","","","","","N"
"SRC","M1","5.4","","","","","","N"
"SRC","M1","6.9","","","","","","N"
"SRC","M1","11.9","","","","","","N"
"SRC","M1","5.1","","","","","","N"
"SRC","M1","13.4","","","","","","N"
"SRC","M1","17.9","","","","","","N"
"SRC","M1","13.7","","","","","","N"
"SRC","M1","15.6","","","","","","N"
"SRC","M1","6.6","","","","","","N"
"SRC","M1","18.2","","","","","","N"
"SRC","M1","12.1","","","","","","N"
"SRC","M1","11.8","","","","","","N"
"SRC","M1","8.4","","","","","","N"
"SRC","M1","16.6","","","","","","N"
"SRC","M1","15.8","","","","","","N"
"SRC","M1","15","","","","","","N"
"SRC","M1","15.5","","","","","","N"
"SRC","M1","11.8","","","","","","N"
"SRC","M1","15.8","","","","","","N"
"SRC","M1","15.8","","","","","","N"
"SRC","M1","5.3","","","","","","N"
"SRC","M1","6.4","","","","","","N"
"SRC","M1","13","","","","","","N"
"SRC","M1","16.8","","","","","","N"
"SRC","M1","17.4","","","","","","N"
"SRC","M1","14.8","","","","","","N"
"SRC","M1","15","","","","","","N"
"SRC","M1","13.2","","","","","","N"
"SRC","M1","15.3","","","","","","N"
"SRC","M1","18.2","","","","","","N"
"SRC","M1","14","","","","","","N"
"SRC","M1","13.9","","","","","","N"
"SRC","M1","13","","","","","","N"
"SRC","M1","8.3","","","","","","N"
"SRC","M1","15.6","","","","","","N"
"SRC","M1","12.2","","","","","","N"
"SRC","M1","11.2","","","","","","N"
"SRC","M1","5.5","","","","","","N"
"SRC","M1","7.6","","","","","","N"
"SRC","M1","9.2","","","","","","N"
"SRC","M1","8.3","","","","","","N"
"SRC","M1","17.3","","","","","","N"
"SRC","M1","14.7","","","","","","N"
"SRC","M1","13.8","","","","","","N"
"SRC","M1","15.3","","","","","","N"
"SRC","M1","8.5","","","","","","N"
"SRC","M1","17.4","","","","","","N"
"SRC","M1","7","","","","","","N"
"SRC","M1","13.6","","","","","","N"
"SRC","M1","10.4","","","","","","N"
"SRC","M1","6.5","","","","","","N"
"SRC","M1","6","","","","","","N"
"SRC","M1","5.7","","","","","","N"
"SRC","M1","5.9","","","","","","N"
"SRC","M1","8.7","","","","","","N"
"SRC","M1","5.6","","","","","","N"
"SRC","M1","7.7","","","","","","N"
"SRC","M1","13.7","","","","","","N"
"SRC","M1","13.1","","","","","","N"
"SRC","M1","11.5","","","","","","N"
"SRC","M1","10.1","","","","","","N"
"SRC","M1","11.1","","","","","","N"
"SRC","M1","8","","","","","","N"
"SRC","M1","14.6","","","","","","N"
"SRC","M1","10.2","","","","","","N"
"SRC","M1","6.7","","","","","","N"
"SRC","M1","6.8","","","","","","N"
"SRC","M1","9.6","","","","","","N"
"SRC","M1","8.2","","","","","","N"
"SRC","M1","6.9","","","","","","N"
"SRC","M1","5.4","","","","","","N"
"SRC","M1","7.5","","","","","","N"
"SRC","M1","5.5","","","","","","N"
"SRC","M1","8.5","","","","","","N"
"SRC","M1","8.2","","","","","","N"
"SRC","M1","5.1","","","","","","N"
"SRC","M1","15.9","","","","","","N"
"SRC","M1","6.2","","","","","","N"
"SRC","M1","5.7","","","","","","N"
"SRC","M1","7.2","","","","","","N"
"SRC","M1","5.8","","","","","","N"
"SRC","M1","5.1","","","","","","N"
"SRC","M1","9.3","","","","","","N"
"SRC","M1","7.8","","","","","","N"
"SRC","M1","7.4","","","","","","N"
"SRC","M1","6.8","","","","","","N"
"SRC","M1","6.9","","","","","","N"
"SRC","M1","4.7","","","","","","N"
"SRC","M1","6.4","","","","","","N"
"SRC","M1","3.7","","","","","","N"
"SRC","M1","8.3","","","","","","N"
"SRC","M1","7.7","","","","","","N"
"SRC","M1","6.5","","","","","","N"
"SRC","M1","4.7","","","","","","N"
"SRC","M1","3.4","","","","","","N"
"SRC","M1","5.2","","","","","","N"
"SRC","M1","6.1","","","","","","N"
"SRC","M1","4.7","","","","","","N"
"SRC","M1","5","","","","","","N"
"SRC","M1","3","","","","","","N"
"SRC","M1","3.2","","","","","","N"
"SRC","M1","15.8","","","","","","N"
"SRC","M1","14.2","","","","","","N"
"SRC","M1","13","","","","","","N"
"SRC","M1","17.7","","","","","","N"
"SRC","M1","16.7","","","","","","N"
"SRC","M1","17.7","","","","","","N"
"SRC","M1","8.2","","","","","","N"
"SRC","M1","15.2","","","","","","N"
"SRC","M1","10","","","","","","N"
"SRC","M1","13.2","","","","","","N"
"SRC","M1","15.5","","","","","","N"
"SRC","M1","17.6","","","","","","N"
"SRC","M1","12.3","","","","","","N"
"SRC","M1","5.4","","","","","","N"
"SRC","M1","15.4","","","","","","N"
"SRC","M1","14.7","","","","","","N"
"SRC","M1","14.3","","","","","","N"
"SRC","M1","15.7","","","","","","N"
"SRC","M1","15","","","","","","N"
"SRC","M1","16.5","","","","","","N"
"SRC","M1","14.6","","","","","","N"
"SRC","M1","7.6","","","","","","N"
"SRC","M1","10.4","","","","","","N"
"SRC","M1","13.8","","","","","","N"
"SRC","M1","9.7","","","","","","N"
"SRC","M1","7.4","","","","","","N"
"SRC","M1","14.5","","","","","","N"
"SRC","M1","11.3","","","","","","N"
"SRC","M1","13.6","","","","","","N"
"SRC","M1","8.6","","","","","","N"
"SRC","M1","15.5","","","","","","N"
"SRC","M1","13.8","","","","","","N"
"LAT","P1","24.8","","","","","","N"
"SRC","M1","5.8","","","","","","N"
"SRC","M1","5.7","","","","","","N"
"SRC","M1","13.8","","","","","","N"
"SRC","M1","13.7","","","","","","N"
"SRC","M1","9.5","","","","","","N"
"SRC","M1","6","","","","","","N"
"SRC","M1","8.2","","","","","","N"
"SRC","M1","14.9","","","","","","N"
"SRC","M1","4.5","","","","","","N"
"SRC","M1","6.4","","","","","","N"
"SRC","M1","15.2","","","","","","N"
"SRC","M1","6.3","","","","","","N"
"SRC","M1","11.6","","","","","","N"
"SRC","M1","5.8","","","","","","N"
"SRC","M1","5","","","","","","N"
"SRC","M1","7.3","","","","","","N"
"SRC","M1","7.7","","","","","","N"
"SRC","M1","12.8","","","","","","N"
"SRC","M1","5.6","","","","","","N"
"SRC","M1","5.9","","","","","","N"
"SRC","M1","7.2","","","","","","N"
"SRC","M1","5.7","","","","","","N"
"SRC","M1","4.3","","","","","","N"
"SRC","M1","17.5","","","","","","N"
"SRC","M1","12.5","","","","","","N"
"BKT","P1","10.3","","","","","","N"
"SRC","M1","7","","","","","","N"
"SRC","M1","8.2","","","","","","N"
"SRC","M1","6.6","","","","","","N"
"SRC","M1","6.1","","","","","","N"
"SRC","M1","8.4","","","","","","N"
"SRC","M1","8.1","","","","","","N"
"SRC","M1","9.9","","","","","","N"
"SRC","M1","7.4","","","","","","N"
"SRC","M1","9.1","","","","","","N"
"SRC","M1","12.7","","","","","","N"
"SRC","M1","11.5","","","","","","N"
"SRC","M1","7.6","","","","","","N"
"SRC","M1","6.4","","","","","","N"
"SRC","M1","7.4","","","","","","N"
"SRC","M1","8.9","","","","","","N"
"SRC","M1","9.2","","","","","","N"
"SRC","M1","7.8","","","","","","N"
"SRC","M1","16.8","","","","","","N"
"SRC","M1","14.9","","","","","","N"
"SRC","M1","12","","","","","","N"
"SRC","M1","16.2","","","","","","N"
"SRC","M1","15.5","","","","","","N"
"SRC","M1","16.7","","","","","","N"
"SRC","M1","16.8","","","","","","N"
"SRC","M1","12.6","","","","","","N"
"SRC","M1","8.1","","","","","","N"
"SRC","M1","7.1","","","","","","N"
"SRC","M1","14.4","","","","","","N"
"SRC","M1","6","","","","","","N"
"SRC","M1","9.3","","","","","","N"
"SRC","M1","9.1","","","","","","N"
"SRC","M1","9.5","","","","","","N"
"SRC","M1","6.2","","","","","","N"
"SRC","M1","5.6","","","","","","N"
"SRC","M1","7.6","","","","","","N"
"SRC","M1","8.2","","","","","","N"
"SRC","M1","7.4","","","","","","N"
"SRC","M1","7.8","","","","","","N"
"SRC","M1","8.2","","","","","","N"
"SRC","M1","4.3","","","","","","N"
"SRC","M1","4.8","","","","","","N"
"SRC","M1","8.4","","","","","","N"
"SRC","M1","15.3","","","","","","N"
"SRC","M1","8.1","","","","","","N"
"SRC","M1","5.9","","","","","","N"
"SRC","M1","5.6","","","","","","N"
"SRC","M1","6","","","","","","N"
"SRC","M1","8.3","","","","","","N"
"SRC","M1","6.5","","","","","","N"
"SRC","M1","9.8","","","","","","N"
"SRC","M1","7.4","","","","","","N"
"SRC","M1","5.5","","","","","","N"
"SRC","M1","5.1","","","","","","N"
"SRC","M1","7.2","","","","","","N"
"SRC","M1","5.4","","","","","","N"
"SRC","M1","8.7","","","","","","N"
"SRC","M1","7.7","","","","","","N"
"SRC","M1","6.6","","","","","","N"
"SRC","M1","6.2","","","","","","N"
"SRC","M1","7.8","","","","","","N"
"SRC","M1","5.9","","","","","","N"
"SRC","M1","5.4","","","","","","N"
"SRC","M1","7.1","","","","","","N"
"SRC","M1","6.8","","","","","","N"
"SRC","M1","6.3","","","","","","N"
"SRC","M1","5.7","0.09","127","LP","","","N"
"SRC","M1","14.3","0.98","80","","","","N"
"SRC","M1","17.3","1.94","88","","","","N"
"SRC","M1","16.8","2.05","102","","","","N"
"SRC","M1","17.3","1.58","71","","","","N"
"SRC","M1","14.6","1.22","93","","","","N"
"SRC","M1","15.1","1.15","79","","","","N"
"SRC","M1","14.3","1.95","159","","","","N"
"SRC","M1","15.4","1.32","86","","","","N"
"SRC","M1","13.3","0.83","85","","","","N"
"SRC","M1","13.9","1.01","90","","","","N"
"SRC","M1","10.5","0.4","85","","","","N"
"SRC","M1","16.9","2.22","108","","","","N"
"SRC","M1","13.6","0.91","87","","","","N"
"SRC","M1","15.4","1.45","94","","","","N"
"SRC","M1","13.9","0.94","84","","","","N"
"SRC","M1","14.2","1.03","86","","","","N"
"SRC","M1","14.9","1.38","99","","","","N"
"SRC","M1","13.8","0.99","90","","","","N"
"SRC","M1","17","1.72","82","","","","N"
"SRC","M1","14.5","1","78","","","","N"
"SRC","M1","7.9","0.15","77","","","","N"
"SRC","M1","15.1","1.19","82","","","","N"
"SRC","M1","16.7","1.61","81","","","","N"
"SRC","M1","13.5","0.92","90","","","","N"
"SRC","M1","17.5","2.3","100","LP","","","N"
"SRC","M1","11","0.48","88","","","","N"
"SRC","M1","14.6","1.25","96","","","","N"
"SRC","M1","16.1","1.86","105","","","","N"
"SRC","M1","18","2.65","106","","","","N"
"SRC","M1","9.2","0.3","96","","","","N"
"SRC","M1","15.9","1.5","88","","","","N"
"SRC","M1","10.9","0.52","98","","","","N"
"SRC","M1","12.4","0.79","100","","","","N"
"SRC","M1","15.1","1.1","76","","","","N"
"SRC","M1","17.6","2.37","102","","","","N"
"SRC","M1","15","1.03","72","","","","N"
"SRC","M1","9.4","0.24","72","","","","N"
"SRC","M1","13.5","0.88","86","","","","N"
"SRC","M1","16","1.49","86","","","","N"
"SRC","M1","12.5","0.64","79","","","","N"
"SRC","M1","15.3","1.18","78","","","","N"
"SRC","M1","14.3","0.98","80","","","","N"
"SRC","M1","9.6","0.29","81","","","","N"
"SRC","M1","8.6","0.27","107","","","","N"
"SRC","M1","10.8","0.37","72","","","","N"
"SRC","M1","10.7","0.48","96","","","","N"
"SRC","M1","9.2","0.24","77","","","","N"
"SRC","M1","11.1","0.53","95","","","","N"
"SRC","M1","7.3","0.1","66","","","","N"
"SRC","M1","5.2","0.04","75","","","","N"
"SRC","M1","10.7","0.41","82","","","","N"
"SRC","M1","14.8","1.23","90","","","","N"
"SRC","M1","5.6","0.03","45","","","","N"
"SRC","M1","6","0.06","72","","","","N"
"SRC","M1","6.6","0.09","81","","","","N"
"SRC","M1","10.5","0.38","81","","","","N"
"SRC","M1","10.1","0.39","93","","","","N"
"SRC","M1","10.8","0.38","74","","","","N"
"SRC","M1","5.2","0.03","56","","","","N"
"SRC","M1","7.1","0.13","93","","","","N"
"SRC","M1","5.5","0.03","47","","","","N"
"SRC","M1","5.1","0.02","","","","","N"
"SRC","M1","5.1","0.03","","","","","N"
"SRC","M1","5","0.03","","","","","N"
"SRC","M1","5.4","0.04","67","","","","N"
"SRC","M1","7.9","0.14","72","","","","N"
"SRC","M1","10.3","0.33","74","","","","N"
"SRC","M1","6.8","0.09","74","","","","N"
"SRC","M1","5.6","0.05","75","","","","N"
"SRC","M1","6.1","0.06","69","","","","N"
"SRC","M1","6.5","0.06","56","","","","N"
"SRC","M1","5.9","0.06","76","","","","N"
"SRC","M1","4.8","","","","","","N"
"SRC","M1","3.3","","","","","","N"
"SRC","M1","4.6","","","","","","N"
"SRC","M1","7.6","0.11","64","","","","N"
"SRC","M1","10.5","0.26","55","","","","N"
"SRC","M1","9.5","0.27","78","","","","N"
"SRC","M1","10.2","0.32","74","","","","N"
"SRC","M1","9.3","0.21","65","","","","N"
"SRC","M1","8.4","0.13","55","","","","N"
"SRC","M1","8","0.11","54","","","","N"
"SRC","M1","8.4","0.15","64","","","","N"
"SRC","M1","8.4","0.15","64","","","","N"
"SRC","M1","10.1","0.28","67","","","","N"
"SRC","M1","8.1","0.16","76","","","","N"
"SRC","M1","12.2","0.62","83","","","","N"
"SRC","M1","10.6","0.28","58","","","","N"
"SRC","M1","9.3","0.26","80","","","","N"
"SRC","M1","8.2","0.14","64","","","","N"
"SRC","M1","8.4","0.22","93","","","","N"
"SRC","M1","8","0.2","99","","","","N"
"SRC","M1","8","0.14","69","","","","N"
"SRC","M1","6.9","0.04","31","","","","N"
"SRC","M1","8.1","0.18","85","","","","N"
"SRC","M1","9.1","0.23","76","","","","N"
"SRC","M1","7.8","0.13","69","","","","N"
"SRC","M1","9.1","0.24","79","","","","N"
"SRC","M1","6","0.08","96","","","","N"
"SRC","M1","5","","","","","","N"
"SRC","M1","7","0.1","75","","","","N"
"SRC","M1","7","0.12","90","","","","N"
"SRC","M1","7.5","0.11","66","","","","N"
"SRC","M1","7.4","0.1","63","","","","N"
"SRC","M1","6","0.06","72","","","","N"
"SRC","M1","6","0.08","96","","","","N"
"SRC","M1","5.2","0.04","75","","","","N"
"SRC","M1","6.5","0.08","75","","","","N"
"SRC","M1","4.2","","","","","","N"
"SRC","M1","15.5","1.31","83","","","","N"
"SRC","M1","16.8","1.75","87","","","","N"
"SRC","M1","17.8","1.98","82","","","","N"
"SRC","M1","15.1","1.32","91","","","","N"
"SRC","M1","14.4","0.95","76","","","","N"
"SRC","M1","10.3","0.39","88","","","","N"
"SRC","M1","12.1","0.66","90","","","","N"
"SRC","M1","13.7","0.98","91","","","","N"
"SRC","M1","15","1.26","89","","","","N"
"SRC","M1","16.3","1.6","87","","","","N"
"BKT","P1","8.9","0.26","64","","","","N"
"BKT","P1","8.7","0.3","80","","","","N"
"SRC","M1","14","1.07","93","","","","N"
"SRC","M1","15.8","1.67","100","","","","N"
"SRC","M1","13.1","0.82","88","","","","N"
"SRC","M1","7.7","0.15","83","","","","N"
"SRC","M1","14.1","1.12","95","","","","N"
"BKT","P1","10.4","0.45","69","","","","N"
"SRC","M1","14","1.05","91","","","","N"
"SRC","M1","17.4","1.96","87","","","","N"
"SRC","M1","16.9","1.55","75","","","","N"
"SRC","M1","10.2","0.36","84","","","","N"
"SRC","M1","12.1","0.71","97","","","","N"
"SRC","M1","12.7","0.7","82","","","","N"
"SRC","M1","15.3","1.17","77","","","","N"
"SRC","M1","8.7","0.22","84","","","","N"
"SRC","M1","10.5","0.42","89","","","","N"
"SRC","M1","13.4","0.91","91","","","","N"
"SRC","M1","7.2","0.12","82","","","","N"
"SRC","M1","6.1","0.08","91","","","","N"
"SRC","M1","8.2","0.22","101","","","","N"
"SRC","M1","6.1","0.11","126","","","","N"
"SRC","M1","5.4","0.1","167","","","","N"
"SRC","M1","11.4","0.62","102","","","","N"
"SRC","M1","12.7","0.78","92","","","","N"
"SRC","M1","11","0.54","99","","","","N"
"SRC","M1","6.5","0.13","122","","","","N"
"SRC","M1","10","0.3","74","","","","N"
"SRC","M1","5.8","0.07","94","","","","N"
"SRC","M1","7.3","0.14","92","","","","N"
"SRC","M1","4.5","","","","","","N"
"SRC","M1","5.3","0.05","88","","","","N"
"SRC","M1","6.1","0.07","80","","","","N"
"SRC","M1","8.3","0.15","66","","","","N"
"SRC","M1","7.3","0.15","98","","","","N"
"SRC","M1","15.2","1.26","85","","","","N"
"SRC","M1","5.1","0.03","","","","","N"
"SRC","M1","6","0.12","144","","","","N"
"SRC","M1","6.3","0.12","124","","","","N"
"SRC","M1","5.5","0.11","173","","","","N"
"SRC","M1","5.2","0.03","56","","","","N"
"SRC","M1","7.5","0.13","78","","","","N"
"SRC","M1","5.3","0.03","53","","","","N"
"SRC","M1","17.1","1.73","81","","","","N"
"SRC","M1","9.6","0.26","73","","","","N"
"SRC","M1","12.2","0.63","84","","","","N"
"SRC","M1","6.5","0.1","94","","","","N"
"SRC","M1","15.7","1.48","90","","","","N"
"SRC","M1","8.5","0.23","94","","","","N"
"SRC","M1","5.2","0.04","75","","","","N"
"SRC","M1","15.3","1.34","89","","","","N"
"SRC","M1","15","1.11","78","","","","N"
"SRC","M1","11.4","0.49","81","","","","N"
"SRC","M1","12.6","0.69","83","","","","N"
"SRC","M1","14.8","1.04","76","","","","N"
"SRC","M1","14.7","1.18","88","","","","N"
"SRC","M1","5.6","0.06","89","","","","N"
"SRC","M1","14.9","1.29","93","","","","N"
"SRC","M1","14.6","0.7","54","","","","N"
"SRC","M1","17","1.74","83","","","","N"
"SRC","M1","14.9","1.07","77","","","","N"
"SRC","M1","5.7","0.05","71","","","","N"
"SRC","M1","7.4","0.12","75","","","","N"
"SRC","M1","6","0.1","120","","","","N"
"SRC","M1","7","0.05","37","","","","N"
